Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
PMS1,P54277,NP_000525,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKN1A,P38936,NP_000380,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TAOK2,Q9UL54,NP_057235,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NAB2,Q15742,NP_005958,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
APOE,P02649,NP_000032,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,,,AFDB,AlphaFold database,False,,
RPL5,P46777,NP_000960,0,"Burcu Aykac Fas (IBPC, France)",,,,AFDB,AlphaFold database,False,,
ZHX3,Q9H4I2,NP_001371246,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
VASH2,Q86V25,NP_001287985,0,"Matteo Tiberti (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SMARCA4,P51532,NP_001122316,0,"Laura Bauer (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SPEN,Q96T58,NP_055816,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
RSPO2,Q6UXX9,NP_848660,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GHRL,Q9UBU3,NP_057446,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ZRSR2,Q15696,NP_005080,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MLLT3,P42568,NP_004520,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PHOX2B,Q99453,NP_003915,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CD207,Q9UJ71,NP_056532,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PILRA,Q9UKJ1,NP_038467,4,"Francesca Maselli (DCI, Denmark, IBFM-CNR, Italy)",https://elelab.gitbook.io/mavisp/proteins/pilra/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NONO,Q15233,NP_031389,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ETV1,P50549,NP_001357484,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TXN,P10599,NP_003320,3,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/txn/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DNM2,P50570,NP_001005360,0,"Alberte Heering Estad (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PRF1,P14222,NP_001076585,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GABARAPL1,Q9H0R8,NP_113600,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FBLN2,P98095,NP_001989,0,"Laura Bauer (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NEK7,Q8TDX7,NP_598001,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BCL2L2,Q92843,NP_001186768,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl2l2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TLK2,Q86UE8,NP_001271262,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DDX41,Q9UJV9,NP_057306,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FOSB,P53539,NP_006723,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
HCFC1,P51610,NP_005325,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BUB1,O43683,NP_004327,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CEBPA,P49715,NP_004355,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
POU1F1,P28069,NP_000297,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NIM1K,Q8IY84,NP_699192,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CPAP,Q9HC77,NP_060921,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CSNK2A3,Q8NEV1,NP_001243615,2,"Simone Scrima (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk2a3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NQO1,P15559,NP_000894,2,"Katrine Meldgård (DCI, Denmark, DTU, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/nqo1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PDCD1,Q15116,NP_005009,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EBPL,Q9BY08,NP_115954,2,"Eszter Toldi (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ebpl/,,,AFDB,AlphaFold database,False,,
CPE3B,Q8NE35,NP_055727,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RAD50,Q92878,NP_005723,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FUBP1,Q96AE4,NP_003893,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PARN,O95453,NP_002573,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HOXB13,Q92826,NP_006352,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRDM1,O75626,NP_001189,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
F8,P00451,NP_000123,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CBL,P22681,NP_005179,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cbl/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PSPH,P78330,NP_004568,0,"Eszter Toldi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IRF4,Q15306,NP_002451,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FHIT,P49789,NP_001159715,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SCYL2,Q6P3W7,NP_060458,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TBX3,O15119,NP_057653,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DEFB105A,Q8NG35,NP_689463,0,"Laura Bauer (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATP7B,P35670,NP_000044,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CCNB1IP1,Q9NPC3,NP_067001,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DEFB104A,Q8WTQ1,NP_525128,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SCARB1,Q8WTV0,NP_005496,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EFL1,Q7Z2Z2,NP_078856,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ALK,Q9UM73,NP_004295,2,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",https://elelab.gitbook.io/mavisp/proteins/alk/,,,AFDB,AlphaFold database,False,,
NFKBIA,P25963,NP_065390,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CIP2A,Q8TCG1,NP_065941,0,"Simone Scrima (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TPMT,P51580,NP_000358,0,"Eszter Toldi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PRSS2,P07478,NP_02761,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GPR101,Q96P66,NP_473362,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MALT1,Q9UDY8,NP_006776,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GPHN,Q9NQX3,NP_001019389,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ASB16,Q96NS5,NP_543139,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CSNK1G3,Q9Y6M4,NP_004375,2,"Philipp Becker (DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk1g3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NACA2,Q9H009,NP_954984,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC6,Q03468,NP_000115,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ERCC4,Q92889,NP_005227,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ercc4/,,,AFDB,AlphaFold database,False,,
CREB3L1,Q96BA8,NP_443086,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CP,P00450,NP_000087,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PHKG2,P15735,NP_000285,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MCL1,Q07820,NP_068779,2,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/mcl1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MYH11,P35749,NP_002465,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CTNNB1,P35222,NP_001895,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
AFF1,P51825,NP_005926,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKL1,Q00532,NP_004187,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDT1,Q9H211,NP_112190,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EXO1,Q9UQ84,NP_569082,0,"Michal Sitek (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GSK3B,P49841,NP_001139628,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SBDS,Q9Y3A5,NP_057122,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GNA11,P29992,NP_002058,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NDUFB10,O96000,NP_004539,0,"Kristine Degn (DTU, Denmark, DCI, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDC42BPB,Q9Y5S2,NP_006026,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PDIK1L,Q8N165,NP_001230461,2,"Philipp Becker (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pdik1l/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MARCHF3,Q86UD3,NP_848545,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KRT18,P05783,NP_000215,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ULK1-XRAY,O75385,NP_003556,3,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ulk1/,5.5,atomic_contacts,PDB,Experimental PDB structure,False,5CI7,
CAMTA1,Q9Y6Y1,NP_056030,2,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/camta1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SBK2,P0C263,NP_001094871,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXR1,Q6PIV2,NP_859072,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TPSB2,P20231,NP_077078,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ESRRB,O95718,,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SMARCB1,Q12824,NP_003064,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WNK2,Q9Y3S1,WNK2_HUMAN,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKN2C,P42773,NP_001253,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATP6V1F,Q16864,NP_004222,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GATA2,P23769,NP_116027,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TBC1D13,Q9NVG8,NP_060671,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ESRRG,P62508,NP_001429,0,"Subhayan Akhuli (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EIF4EBP1,Q13541,NP_004086,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/eif4ebp1,,,AFDB,AlphaFold database,False,,
CDK10,Q15131,NP_443714,2,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk10/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SPN,P16150,NP_003114,0,"Beatrice Drago (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXP1,Q9H334,NP_001336267,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BRD2,P25440,NP_001106653,0,"Kristine Degn (DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MDH2,P40926,NP_005909,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FLG,P20930,NP_002007,0,"Alicia Llorente (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KAT6B,Q8WYB5,NP_036462,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark), Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDK20,Q8IZL9,NP_001034892,2,"Jeremy Vinhas (DCI, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk20,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RNF175,Q8N4F7,NP_775933,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ALDH2,P05091,NP_000681,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GABARAP,O95166,NP_009209,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/gabarap/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG2B,Q96BY7,NP_060506,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GPC3,P51654,NP_004475,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,,,Mod,"Homology model (PDB template, reconstruction)",False,AFDB-Mod,
NXF1,Q9UBU9,NP_006353,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Kristine Degn (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/nxf1,,,AFDB,AlphaFold database,False,,
PRKACB,P22694,NP_002722,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ARID2,Q68CP9,NP_689854,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark), Matteo Lambrughi (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KDR,P35968,NP_002244,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FCGR2B,P31994,NP_003992,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ASXL1,Q8IXJ9,NP_056153,2,"Kristine Degn (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/asxl1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP3K13,O43283,NP_004712,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
C2CD5,Q86YS7,NP_055617,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",True,Mod-AFDB,
BLM,P54132,NP_000048,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/blm/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ETV4,P43268,NP_001073143,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
POLH,Q9Y253,NP_006493,0,"Natalia Feced Garcia (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SCN1B,Q07699,NP_001028,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CAMK1D,Q8IU85,NP_705718,2,"Matteo Lambrughi (DCI, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/camk1d/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GABARAPL2,P60520,NP_009216,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATF7IP,Q6VMQ6,NP_060649,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EGFR,P00533,NP_005219,3,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/egfr,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HACE1,Q8IYU2,NP_065822,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ERBB2,P04626,NP_004439,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NRBP2,Q9NSY0,NP_848659,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
IPMK,Q8NFU5,NP_689416,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CRYBB3,P26998,NP_004067,2,"Alessia Campo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/CRYBB3/,,,AFDB,AlphaFold database,False,,
PIK3R4,Q99570,NP_055417,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TNFAIP3,P21580,NP_001257437,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DIS3,Q9Y2L1,NP_055768,2,"Konstantina Gkopi (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dis3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TRIM33,Q9UPN9,NP_056990,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DDX10,Q13206,NP_004389,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SLC34A3,Q8N130,NP_001170787,0,"Guglielmo Tedeschi (UCT,Czech Republic)",,,,AFDB,AlphaFold database,False,,
PIK3C2G,O75747,NP_001275701,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ULK4,Q96C45,NP_060356,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MTOR,P42345,NP_004949,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ULK2,Q8IYT8,NP_001136082,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP1LC3A,Q9H492,NP_115903,0,"Mattia Utichi (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC3,P19447,NP_000113,0,"Alberte Heering Estad (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NEK2,P51955,NP_002488,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
INMT,O95050,NP_006765,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DENND2C,Q68D51,NP_001243333,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dennd2c,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
XRCC2,O43543,NP_005422,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GSR,P00390,NP_000628,2,"Elena Papaleo (DCRC, Denmark, DTU, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/gsr/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PELI1,Q96FA3,NP_065702,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/peli1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FOXO3,O43524,NP_001446,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark), Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PER1,O15534,NP_002607,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KCNJ12,Q14500,NP_066292,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BRCA2,P51587,NP_000050,4,"Matteo Arnaudi (DCRC, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/brca2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAF,O75444,NP_001026974,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ARMC5,Q96C12,NP_001098717,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ACVR1,Q04771,NP_001104537,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EDC4,Q6P2E9,NP_055144,0,"Vinit Nilesh Vasa (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
THAP3,Q8WTV1,NP_001182682,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CNOT3,O75175,NP_055331,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KANK3,Q6NY19,NP_940873,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NBL1,P41271,NP_005371,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
UBC,P0CG48,NP_066289,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MFSD12,Q6NUT3,NP_778148,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CSNK1A1L,Q8N752,NP_660204,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk1a1l/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AR,P10275,NP_000035,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
